,Name,Price
78,スッキリわかるPython入門 (スッキリシリーズ),"￥2,592"
79,現場で使える! Python深層学習入門 Pythonの基本から深層学習の実践手法まで (AI & TECHNOLOGY),"￥3,456"
80,スラスラわかるPython,"￥2,484"
81,増補改訂Pythonによるスクレイピング&機械学習 開発テクニック,"￥3,456"
82,Effective Python ―Pythonプログラムを改良する59項目,"￥3,456"
83,Python Django 超入門,"￥2,916"
84,やさしいPython (「やさしい」シリーズ),"￥2,786"
85,Pythonで理解する統計解析の基礎 (PYTHON×MATH SERIES),"￥3,218"
86,Pythonによる数値計算とシミュレーション,"￥2,700"
87,基礎Python 基礎シリーズ,￥0
88,データサイエンス教本 Pythonで学ぶ統計分析・パターン認識・深層学習・信号処理・時系列データ分析,"￥3,888"
89,PythonでGUIをつくろう─はじめてのQt for Python (技術の泉シリーズ（NextPublishing）),"￥1,728"
90,Head First はじめてのプログラミング ―頭とからだで覚えるPythonプログラミング入門,"￥3,240"
91,Pythonによる機械学習: 予測解析の必須テクニック,"￥4,860"
92,Pythonスクレイピングの基本と実践 データサイエンティストのためのWebデータ収集術 (impress top gear),"￥3,564"
93,実例に学ぶExcelを生かすPythonプログラミング　mission1,￥0
94,PythonでWebサービスを作る - Python3 + Flaskで作るWebアプリケーション開発入門 - その１,￥0
95,Pythonの絵本 Pythonを楽しく学ぶ9つの扉,"￥1,730"
96,Artificial Intelligence Basics: A Non-Technical Introduction,"￥4,024"
97,Python3  エンジニア認定基礎試験問題集　第二版,￥0
98,日経ソフトウエア 2019年 5 月号,"￥1,599"
99,Pythonデータ分析/機械学習のための基本コーディング!  pandasライブラリ活用入門 (impress top gear),"￥4,104"
100,Pythonによるクローラー＆スクレイピング入門 設計・開発から収集データの解析まで,"￥2,916"
101,The Python Style Guide Illustrated with Tempting Pictures of Cheesecake,"￥1,943"
102,Python機械学習ライブラリ scikit-learn活用レシピ80+ (impress top gear),"￥4,212"
103,Python Scripting for Network Engineers: Realizing Network Automation for Reliable Networks,"￥1,564"
104,機械学習ガイドブック: RとPythonを使いこなす,"￥2,700"
105,3ステップでしっかり学ぶ Python 入門,"￥2,678"
106,機械学習スタートアップシリーズ Pythonで学ぶ強化学習 入門から実践まで (KS情報科学専門書),"￥3,024"
107,Pythonデータベースプログラミング入門,"￥2,592"
108,Python による　数値解析入門　第７巻　離散フーリエ解析,￥0
109,Pythonによる ベイズ統計学入門 (実践Pythonライブラリー),"￥3,672"
110,Head First Python 第2版 ―頭とからだで覚えるPythonの基本,"￥4,104"
111,Pythonで動かして学ぶ 自然言語処理入門,"￥3,456"
112,Pythonによる科学技術計算 基礎編,￥0
113,Pythonで動かして学ぶ!あたらしい機械学習の教科書 第2版,"￥2,894"
114,Fluent Python ―Pythonicな思考とコーディング手法,"￥6,264"
115,Kivyプログラミング ―Pythonで作るマルチタッチアプリ― (実践Pythonライブラリー),"￥3,456"
116,Monty Python's Total Rubbish [Analog],"￥24,255"
117,機械学習のための特徴量エンジニアリング ―その原理とPythonによる実践 (オライリー・ジャパン),"￥3,240"
118,Pythonによるベイズ統計モデリング: PyMCでのデータ分析実践ガイド,"￥3,888"
119,スマートPythonプログラミング: Pythonのより良い書き方を学ぶ,￥0
120,ゼロからやさしくはじめるPython入門 ~基本からスタートして、ゲームづくり、機械学習まで楽しく学ぼう! ~,"￥2,495"
121,「空飛ぶモンティ・パイソン」“日本語吹替復活”DVD BOX,"￥41,676"
122,最短コースでわかる ディープラーニングの数学,"￥3,132"
123,初めてのPython 第3版,"￥4,968"
124,逆引きPython標準ライブラリ 目的別の基本レシピ180+! (impress top gear),"￥3,240"
125,PythonによるAndroidアプリ開発入門,"￥2,916"
126,Pythonで始めるOpenCV3プログラミング,"￥3,456"
127,たのしいプログラミング Pythonではじめよう!,"￥3,024"
128,プログラミング超初心者が初心者になるためのPython入門（１）　セットアップ・文字列・数値編,￥0
129,Pythonをおぼえたら組み込み関数で基礎を深めよう: 初級Pythonプログラマー必読の書！,￥0
130,Deep Learning with Python,"￥5,395"
131,Pythonで機械学習入門: 深層学習から敵対的生成ネットワークまで,"￥2,592"
132,Pythonで学ぶ実践画像・音声処理入門,"￥2,700"
133,Pythonゲームプログラミング　知っておきたい数学と物理の基本 (Future Coders（NextPublishing）),"￥1,404"
134,サイバーセキュリティプログラミング ―Pythonで学ぶハッカーの思考,"￥3,240"
135,独習Python入門――1日でプログラミングに強くなる!,"￥2,786"
136,初心者のためのPython活用術 (日経BPパソコンベストムック),"￥2,484"
137,はじめるPython!  ゼロからのゲームプログラミング,"￥2,268"
138,初心者のためのPython活用術 (日経BPパソコンベストムック),"￥2,484"
139,はじめるPython!  ゼロからのゲームプログラミング,"￥2,268"
140,実践 Python 3,"￥3,672"
141,ゼロからFlaskがよくわかる本: Pythonで作るWebアプリケーション開発入門,￥0
142,独学プログラマーのためのAIアプリ開発がわかる本,"￥2,700"
143,たのしくまなぶPythonプログラミング図鑑,"￥3,024"
144,Pythonからはじめる数学入門,"￥3,024"
145,Python言語によるビジネスアナリティクス 実務家のための最適化・統計解析・機械学習,"￥6,912"
146,みんなのブロックチェーン,"￥2,808"
147,Pythonではじめる！プログラミング入門 SBC Publishing,￥0
148,Python Programming: Awesome Python Programming Guide from Beginner to Expert,"￥2,123"
149,エレガントなSciPy ―Pythonによる科学技術計算,"￥3,672"
150,100問でわかるPython,"￥1,944"
151,機械学習と深層学習 Pythonによるシミュレーション,"￥2,700"
152,Pythonエンジニア ファーストブック,"￥2,592"
153,5日間で学ぶPython　スクレイピング編,￥864
154,Pythonで体験するベイズ推論 PyMCによるMCMC入門,"￥3,456"
155,"Fluent Python: Clear, Concise, and Effective Programming","￥5,071"
156,Minecraftで楽しく学べる Pythonプログラミング,"￥2,678"
157,pandasクックブック ―Pythonによるデータ処理のレシピ―,"￥4,536"
158,Python による 数値解析入門　第９巻　数値微分と積分,￥0
159,ゼロから作るDeep Learning ❷ ―自然言語処理編,"￥3,888"
160,Pythonの文法は覚えたけど「じゃあこれで何ができるんだ？」と思っている人のための本,￥0
161,真剣に学ぶPythonの基礎,￥0
162,Pythonによるデータ解析入門,"￥2,916"
